,Unnamed: 0,Application Number,Orig Funding Request,Cmtd Funding Request,Consulting Firm's Name,Consulting Firm's Email,Applicant Type,Applicant City,Applicant State,Orig Discount,Cmtd Discount,Service Type,Function,funding_gap
425396,425396,170052386,8924,8924,Csm Consulting Inc.,kfriends@csmcentral.com,School District,TEMPLETON,CA,40 %,40 %,Managed Internal Broadband Services,Existing Equipment,0
989257,989257,170061576,875,875,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wireless Controller,0
902634,902634,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Wap,0
1561239,1561239,170065593,31076,31076,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",0
999077,999077,170061576,1605,1605,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Cabling,0
691988,691988,170047995,50319,50319,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85 %,85 %,Internal Connections,Ups/Battery Backup,0
1514160,1514160,170065593,4468,4468,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Internal Connections,Firewall Service And Components,0
236501,236501,170051028,88200,88200,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90 %,90 %,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
1456999,1456999,170074618,542,422,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wap,120
364827,364827,170081465,7624,7624,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,LONG BEACH,CA,80 %,80 %,Internal Connections,Wap,0
894713,894713,170061576,12375,12375,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wireless Controller,0
